,index,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
1346,1350,HiveConf.java,7.0,0.0,6.0,1.0,2.0,9.0,53.0,21.0,125.0,122.0,73.0,741.0,126.0,17.0,16.0,0.0,93.0,3770.0,333.0,3198.0,2497.0,668.0,252.0,427.0,664.0,266.0,445.0,17.0,4.0,0.08,237.0,1.0
1349,1353,HiveConnection.java,11.0,0.0,9.0,2.0,2.0,3.0,1.0,1.0,83.0,83.0,82.0,18.0,83.0,2.0,17.0,0.0,64.0,1419.0,153.0,842.0,323.0,434.0,427.0,370.0,530.0,250.0,331.0,11.0,4.0,0.51,155.0,1.0
1354,1358,HiveDatabaseMetaData.java,5.0,0.0,5.0,0.0,1.0,4.0,2.0,3.0,186.0,186.0,184.0,4.0,186.0,0.0,2.0,0.0,184.0,1152.0,213.0,873.0,274.0,406.0,67.0,311.0,528.0,250.0,292.0,8.0,4.0,0.08,214.0,0.0
1381,1385,HiveGBOpConvUtil.java,38.0,4.0,28.0,6.0,5.0,4.0,28.0,0.0,30.0,28.0,2.0,29.0,30.0,1.0,27.0,0.0,2.0,1292.0,152.0,927.0,346.0,681.0,213.0,551.0,674.0,309.0,497.0,20.0,5.0,0.23,143.0,1.0
1438,1442,HiveMetaStore.java,20.0,1.0,17.0,2.0,3.0,20.0,28.0,23.0,290.0,290.0,262.0,19.0,290.0,2.0,96.0,7.0,185.0,6253.0,613.0,5173.0,1498.0,3394.0,485.0,2316.0,3315.0,1076.0,2552.0,26.0,6.0,0.09,968.0,1.0
1440,1444,HiveMetaStoreClient.java,10.0,0.0,8.0,2.0,2.0,4.0,2.0,2.0,181.0,182.0,180.0,17.0,182.0,1.0,17.0,7.0,157.0,2261.0,211.0,1647.0,775.0,705.0,407.0,654.0,963.0,461.0,584.0,19.0,6.0,0.25,324.0,1.0
1454,1458,HiveOpConverter.java,28.0,3.0,24.0,2.0,5.0,3.0,17.0,1.0,38.0,36.0,21.0,12.0,38.0,11.0,23.0,0.0,4.0,1248.0,145.0,1000.0,389.0,672.0,108.0,603.0,788.0,372.0,589.0,16.0,5.0,0.11,176.0,1.0
1456,1460,HiveOperation.java,4.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,21.0,19.0,21.0,109.0,21.0,0.0,2.0,0.0,19.0,247.0,26.0,200.0,147.0,33.0,21.0,49.0,69.0,36.0,33.0,2.0,1.0,0.1,20.0,0.0
1457,1461,HiveOperationType.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,111.0,2.0,0.0,0.0,0.0,2.0,151.0,6.0,118.0,117.0,0.0,34.0,3.0,4.0,4.0,0.0,0.0,0.0,0.29,0.0,0.0
1534,1538,HiveStatsUtils.java,39.0,2.0,19.0,18.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,76.0,8.0,28.0,14.0,13.0,40.0,18.0,23.0,14.0,13.0,4.0,2.0,1.43,4.0,0.0
1585,1589,IMetaStoreClient.java,3.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,132.0,132.0,0.0,132.0,128.0,0.0,0.0,4.0,1512.0,143.0,344.0,339.0,1.0,1025.0,197.0,201.0,200.0,1.0,1.0,0.0,2.98,1.0,1.0
1633,1637,Index.java,14.0,1.0,13.0,1.0,4.0,6.0,3.0,17.0,85.0,83.0,82.0,23.0,85.0,1.0,2.0,0.0,82.0,1374.0,146.0,1193.0,225.0,786.0,65.0,573.0,843.0,198.0,688.0,32.0,4.0,0.05,307.0,0.0
1896,1903,LazySimpleDeserializeRead.java,12.0,1.0,11.0,1.0,2.0,10.0,1.0,4.0,52.0,52.0,51.0,38.0,52.0,0.0,1.0,0.0,51.0,959.0,115.0,643.0,212.0,344.0,201.0,311.0,422.0,173.0,262.0,57.0,4.0,0.31,119.0,0.0
1928,1935,LinearExtrapolatePartStatus.java,80.0,0.0,75.0,5.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,106.0,4.0,80.0,30.0,62.0,22.0,33.0,48.0,20.0,33.0,14.0,3.0,0.28,14.0,0.0
1930,1937,ListBucketingPruner.java,43.0,2.0,15.0,26.0,3.0,2.0,10.0,1.0,11.0,11.0,1.0,0.0,11.0,0.0,5.0,0.0,6.0,636.0,38.0,191.0,73.0,112.0,412.0,93.0,137.0,67.0,92.0,6.0,4.0,2.16,35.0,0.0
1954,1961,LlapDaemonProtocolProtos.java,9.0,0.0,8.0,1.0,2.0,88.0,292.0,145.0,1355.0,1501.0,1213.0,219.0,1505.0,135.0,159.0,70.0,1141.0,14553.0,854.0,11524.0,3606.0,6285.0,2175.0,4657.0,6967.0,2327.0,4823.0,28.0,4.0,0.19,2339.0,0.0
1981,1988,LlapTaskSchedulerService.java,14.0,0.0,12.0,1.0,2.0,14.0,0.0,7.0,82.0,80.0,82.0,90.0,82.0,19.0,18.0,1.0,44.0,1512.0,160.0,1200.0,374.0,736.0,158.0,581.0,814.0,330.0,559.0,18.0,7.0,0.13,194.0,0.0
1990,1997,LlapWrappableInputFormatInterface.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,2.0,2.0,0.0,18.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0
2109,2116,MapJoinOperator.java,21.0,2.0,17.0,3.0,4.0,2.0,1.0,3.0,29.0,29.0,28.0,14.0,29.0,0.0,3.0,14.0,12.0,753.0,81.0,548.0,178.0,326.0,131.0,305.0,421.0,175.0,288.0,22.0,7.0,0.24,112.0,1.0
2141,2148,MegaStruct.java,17.0,1.0,16.0,0.0,4.0,6.0,3.0,31.0,164.0,162.0,161.0,43.0,164.0,1.0,2.0,0.0,161.0,3128.0,285.0,2798.0,451.0,1802.0,105.0,1322.0,1977.0,486.0,1633.0,62.0,5.0,0.04,725.0,0.0
2165,2172,MetaStoreDirectSql.java,26.0,1.0,22.0,3.0,4.0,15.0,8.0,4.0,60.0,57.0,53.0,27.0,61.0,3.0,27.0,4.0,27.0,1670.0,115.0,1343.0,375.0,996.0,228.0,717.0,964.0,358.0,752.0,38.0,6.0,0.17,259.0,1.0
2178,2185,MetaStoreUtils.java,19.0,1.0,14.0,4.0,3.0,4.0,77.0,14.0,80.0,80.0,3.0,0.0,80.0,5.0,6.0,0.0,69.0,1759.0,157.0,1237.0,356.0,786.0,371.0,563.0,837.0,325.0,615.0,19.0,4.0,0.3,259.0,1.0
2190,2197,Metastore.java,8.0,0.0,7.0,1.0,2.0,10.0,34.0,15.0,139.0,150.0,116.0,18.0,150.0,11.0,19.0,8.0,112.0,1331.0,86.0,1054.0,345.0,534.0,191.0,415.0,638.0,220.0,432.0,9.0,4.0,0.18,223.0,0.0
2199,2206,MetricsScope.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,3.0,2.0,0.0,29.0,1.0,2.0,2.0,0.0,0.0,0.0,9.67,0.0,0.0
2219,2226,MoveTask.java,54.0,4.0,41.0,10.0,9.0,1.0,0.0,2.0,10.0,10.0,10.0,0.0,10.0,0.0,5.0,0.0,5.0,638.0,50.0,467.0,141.0,308.0,125.0,226.0,318.0,138.0,228.0,43.0,7.0,0.27,90.0,1.0
2241,2248,MyTestClassSmaller.java,27.0,2.0,25.0,0.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,1.0,86.0,10.0,59.0,36.0,24.0,17.0,52.0,54.0,36.0,19.0,17.0,0.0,0.29,17.0,0.0
2303,2310,ObjectInspectorUtils.java,29.0,1.0,25.0,3.0,6.0,2.0,37.0,1.0,40.0,38.0,3.0,3.0,40.0,0.0,4.0,0.0,36.0,1321.0,77.0,1073.0,315.0,758.0,171.0,529.0,694.0,308.0,504.0,49.0,3.0,0.16,254.0,1.0
2306,2313,ObjectStore.java,23.0,1.0,21.0,1.0,3.0,19.0,5.0,9.0,323.0,324.0,321.0,34.0,326.0,4.0,115.0,30.0,177.0,7795.0,559.0,6766.0,1924.0,4664.0,478.0,3248.0,4562.0,1567.0,3593.0,55.0,11.0,0.07,1111.0,1.0
2313,2320,OpTraitsRulesProcFactory.java,16.0,1.0,14.0,1.0,3.0,8.0,7.0,0.0,17.0,17.0,10.0,0.0,17.0,0.0,1.0,0.0,16.0,390.0,45.0,280.0,123.0,144.0,66.0,126.0,201.0,112.0,120.0,8.0,7.0,0.24,54.0,0.0
2356,2363,OrcInputFormat.java,16.0,1.0,14.0,2.0,3.0,24.0,34.0,11.0,116.0,116.0,86.0,102.0,120.0,21.0,23.0,0.0,76.0,2266.0,198.0,1789.0,681.0,1020.0,288.0,882.0,1212.0,572.0,783.0,22.0,5.0,0.16,321.0,1.0
2362,2369,OrcProto.java,8.0,0.0,7.0,1.0,2.0,102.0,386.0,230.0,1839.0,2029.0,1651.0,319.0,2037.0,198.0,224.0,92.0,1523.0,19295.0,1024.0,14548.0,4609.0,7704.0,3723.0,6021.0,8990.0,3028.0,6183.0,32.0,4.0,0.26,3039.0,1.0
2392,2400,PTFTranslator.java,23.0,2.0,20.0,1.0,4.0,2.0,16.0,1.0,42.0,42.0,26.0,11.0,42.0,2.0,24.0,6.0,10.0,1141.0,124.0,930.0,361.0,589.0,87.0,509.0,656.0,308.0,479.0,12.0,3.0,0.09,148.0,0.0
2458,2468,PerfLogger.java,10.0,0.0,9.0,2.0,2.0,1.0,1.0,46.0,12.0,12.0,11.0,2.0,12.0,0.0,3.0,0.0,9.0,225.0,23.0,162.0,82.0,111.0,40.0,101.0,129.0,82.0,59.0,6.0,3.0,0.25,28.0,1.0
2514,2524,PrimitiveObjectInspectorUtils.java,21.0,1.0,18.0,2.0,5.0,3.0,39.0,24.0,48.0,46.0,9.0,13.0,48.0,4.0,1.0,1.0,42.0,1267.0,89.0,1020.0,211.0,775.0,164.0,496.0,594.0,171.0,475.0,20.0,2.0,0.16,256.0,0.0
2559,2569,QTestUtil.java,17.0,2.0,14.0,2.0,3.0,8.0,19.0,21.0,97.0,96.0,79.0,46.0,98.0,0.0,31.0,2.0,65.0,1997.0,275.0,1547.0,458.0,1024.0,187.0,831.0,1137.0,449.0,835.0,16.0,5.0,0.12,294.0,1.0
2560,2570,Query.java,13.0,0.0,13.0,1.0,3.0,6.0,3.0,14.0,80.0,78.0,77.0,19.0,80.0,1.0,2.0,0.0,77.0,1278.0,133.0,1112.0,217.0,702.0,57.0,532.0,783.0,203.0,624.0,26.0,4.0,0.05,276.0,0.0
2568,2578,QueryPlanTreeTransformation.java,105.0,3.0,80.0,23.0,13.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,265.0,11.0,187.0,83.0,115.0,67.0,103.0,137.0,70.0,96.0,22.0,6.0,0.36,25.0,1.0
2573,2583,RCFile.java,15.0,1.0,12.0,3.0,2.0,8.0,1.0,18.0,88.0,88.0,87.0,84.0,88.0,10.0,12.0,3.0,63.0,2049.0,223.0,1227.0,374.0,771.0,623.0,676.0,910.0,342.0,612.0,15.0,5.0,0.51,219.0,0.0
2610,2620,ReaderWriter.java,87.0,12.0,74.0,1.0,20.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,227.0,31.0,172.0,50.0,138.0,24.0,121.0,130.0,52.0,97.0,20.0,2.0,0.14,40.0,0.0
2617,2627,RecordReaderImpl.java,19.0,0.0,16.0,3.0,5.0,5.0,17.0,6.0,61.0,59.0,44.0,47.0,61.0,13.0,17.0,1.0,30.0,1344.0,95.0,1065.0,302.0,678.0,187.0,528.0,767.0,272.0,558.0,44.0,4.0,0.18,275.0,1.0
2630,2640,ReduceSinkMapJoinProc.java,100.0,8.0,75.0,17.0,14.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,384.0,35.0,272.0,102.0,175.0,77.0,164.0,211.0,96.0,144.0,33.0,4.0,0.28,42.0,1.0
2768,2780,SemanticAnalyzer.java,43.0,4.0,32.0,7.0,6.0,8.0,25.0,6.0,269.0,269.0,244.0,54.0,269.0,38.0,168.0,13.0,50.0,12282.0,1322.0,8978.0,2743.0,6626.0,2022.0,4721.0,6328.0,2460.0,5262.0,62.0,8.0,0.23,1657.0,1.0
2769,2781,SemanticAnalyzerFactory.java,37.0,2.0,35.0,1.0,23.0,1.0,3.0,2.0,4.0,4.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,306.0,16.0,267.0,22.0,237.0,23.0,129.0,139.0,17.0,128.0,89.0,3.0,0.09,93.0,0.0
2784,2796,SerializationUtils.java,17.0,0.0,15.0,1.0,3.0,2.0,2.0,1.0,71.0,69.0,69.0,34.0,71.0,1.0,44.0,0.0,26.0,1311.0,103.0,1087.0,205.0,818.0,121.0,640.0,817.0,182.0,645.0,18.0,3.0,0.11,228.0,0.0
2788,2800,Server.java,22.0,1.0,16.0,5.0,2.0,1.0,4.0,9.0,49.0,49.0,45.0,4.0,49.0,0.0,7.0,0.0,42.0,1211.0,102.0,830.0,429.0,377.0,280.0,356.0,445.0,158.0,346.0,15.0,3.0,0.34,89.0,0.0
2797,2809,ServiceStateChangeListener.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,4.0,4.0,3.0,0.0,38.0,2.0,3.0,3.0,0.0,0.0,0.0,9.5,0.0,0.0
2803,2815,SessionState.java,9.0,0.0,7.0,1.0,2.0,8.0,29.0,7.0,149.0,145.0,120.0,59.0,149.0,3.0,15.0,2.0,129.0,1771.0,247.0,1216.0,403.0,662.0,309.0,592.0,868.0,389.0,575.0,17.0,5.0,0.25,283.0,1.0
2844,2856,ShowCompactResponseElement.java,14.0,1.0,13.0,1.0,4.0,6.0,3.0,20.0,93.0,91.0,90.0,27.0,93.0,1.0,2.0,0.0,90.0,1542.0,168.0,1325.0,233.0,892.0,85.0,623.0,935.0,206.0,786.0,38.0,3.0,0.06,360.0,0.0
2856,2868,ShowLocksResponseElement.java,14.0,1.0,13.0,1.0,4.0,6.0,3.0,29.0,113.0,111.0,110.0,35.0,113.0,1.0,2.0,0.0,110.0,1929.0,207.0,1657.0,285.0,1145.0,113.0,809.0,1185.0,251.0,1001.0,50.0,3.0,0.07,444.0,0.0
2863,2875,ShuffleHandler.java,16.0,1.0,14.0,2.0,2.0,11.0,8.0,36.0,48.0,48.0,40.0,40.0,48.0,3.0,7.0,9.0,29.0,1077.0,115.0,853.0,360.0,488.0,113.0,458.0,582.0,306.0,346.0,17.0,4.0,0.13,115.0,1.0
2869,2881,SignedInt128.java,13.0,0.0,6.0,7.0,2.0,1.0,13.0,3.0,75.0,75.0,62.0,2.0,75.0,0.0,0.0,0.0,75.0,1074.0,87.0,447.0,110.0,242.0,541.0,187.0,295.0,91.0,211.0,5.0,2.0,1.21,124.0,0.0
2970,2982,Stage.java,13.0,0.0,12.0,1.0,3.0,6.0,3.0,13.0,75.0,73.0,72.0,17.0,75.0,1.0,2.0,0.0,72.0,1181.0,124.0,1013.0,205.0,630.0,65.0,485.0,713.0,193.0,560.0,23.0,4.0,0.06,248.0,1.0
2987,2999,StatsAggregator.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,66.0,6.0,6.0,5.0,0.0,54.0,4.0,5.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0
2993,3005,StatsOptimizer.java,30.0,1.0,27.0,2.0,6.0,12.0,0.0,1.0,21.0,17.0,23.0,14.0,23.0,8.0,6.0,0.0,9.0,768.0,43.0,660.0,222.0,446.0,75.0,349.0,480.0,205.0,366.0,90.0,7.0,0.11,129.0,1.0
2997,3009,StatsRulesProcFactory.java,42.0,5.0,31.0,7.0,7.0,9.0,11.0,2.0,37.0,37.0,26.0,0.0,37.0,3.0,18.0,0.0,16.0,1893.0,233.0,1241.0,416.0,843.0,419.0,629.0,927.0,407.0,695.0,40.0,7.0,0.34,266.0,1.0
3000,3012,StatsUtils.java,27.0,2.0,20.0,5.0,5.0,1.0,51.0,1.0,51.0,51.0,0.0,0.0,51.0,0.0,15.0,0.0,36.0,1561.0,142.0,1122.0,333.0,773.0,297.0,573.0,838.0,333.0,619.0,19.0,4.0,0.26,259.0,1.0
3004,3016,Stmt.java,20.0,0.0,17.0,3.0,4.0,1.0,0.0,0.0,53.0,53.0,53.0,5.0,53.0,11.0,0.0,0.0,42.0,1138.0,59.0,916.0,176.0,631.0,167.0,503.0,703.0,190.0,602.0,16.0,7.0,0.18,199.0,0.0
3007,3019,StorageDescriptor.java,14.0,1.0,14.0,1.0,4.0,6.0,3.0,20.0,104.0,102.0,101.0,27.0,104.0,1.0,2.0,0.0,101.0,1748.0,173.0,1538.0,272.0,999.0,73.0,731.0,1084.0,257.0,890.0,38.0,4.0,0.05,398.0,0.0
3038,3050,StringGroupConcatColCol.java,31.0,2.0,26.0,4.0,8.0,1.0,2.0,1.0,13.0,13.0,11.0,3.0,13.0,0.0,2.0,0.0,11.0,455.0,40.0,344.0,54.0,226.0,73.0,167.0,269.0,75.0,194.0,84.0,5.0,0.21,101.0,0.0
3065,3077,SubQueryUtils.java,12.0,1.0,11.0,0.0,2.0,3.0,35.0,1.0,39.0,45.0,10.0,2.0,45.0,37.0,2.0,0.0,6.0,665.0,79.0,472.0,178.0,306.0,115.0,244.0,337.0,152.0,261.0,12.0,3.0,0.24,89.0,1.0
3081,3094,TCLIService.java,7.0,0.0,7.0,0.0,2.0,313.0,116.0,192.0,1800.0,1762.0,1722.0,173.0,1838.0,38.0,78.0,40.0,1682.0,16422.0,2644.0,13050.0,3589.0,6951.0,842.0,5402.0,8750.0,3207.0,6210.0,5.0,3.0,0.06,3016.0,0.0
