Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,Bugs
AlterTableDesc.java,6.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,18.0,18.0,0.0,3.0,1.0,2.0,85.0,81.0,84.0,61.0,85.0,79.0,0.0,1.0,0.0,84.0,140.0,738.0,90.0,384.0,165.0,144.0,264.0,75.0,68.0,186.0,269.0,134.0,136.0,1.0,2.0,2.0,2.0,2.0,1.0,95.0,95.0,0.69,82.0,82.0,82.0,0.0
AppConfig.java,5.0,0.0,5.0,1.0,2.0,2.0,2.0,2.0,28.0,28.0,0.0,3.0,4.0,52.0,44.0,42.0,40.0,2.0,44.0,42.0,0.0,7.0,0.0,37.0,115.0,413.0,36.0,290.0,149.0,186.0,88.0,144.0,88.0,175.0,249.0,144.0,122.0,1.0,8.0,8.0,8.0,2.0,4.0,0.0,0.0,0.3,66.0,66.0,66.0,1.0
AvgPartitionSizeBasedBigTableSelectorForAutoSMJ.java,63.0,8.0,52.0,5.0,11.0,11.0,11.0,2.0,17.0,17.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,112.0,14.0,74.0,35.0,40.0,26.0,13.0,27.0,44.0,57.0,32.0,30.0,11.0,11.0,11.0,11.0,2.0,4.0,0.0,0.0,0.35,11.0,11.0,11.0,0.0
BaseSemanticAnalyzer.java,13.0,0.0,11.0,2.0,3.0,2.0,3.0,4.0,105.0,105.0,9.0,5.0,27.0,4.0,96.0,95.0,70.0,38.0,97.0,95.0,2.0,8.0,26.0,61.0,769.0,1473.0,145.0,1118.0,338.0,674.0,223.0,350.0,1053.0,577.0,812.0,331.0,566.0,1.0,21.0,21.0,31.0,1.0,5.0,67.5,59.0,0.2,252.0,226.0,283.0,1.0
BeeLine.java,13.0,1.0,10.0,2.0,3.0,3.0,3.0,10.0,187.0,187.0,1.0,3.0,9.0,16.0,122.0,122.0,113.0,23.0,122.0,260.0,81.0,9.0,3.0,29.0,1112.0,2181.0,318.0,1565.0,355.0,1035.0,326.0,1035.0,1065.0,651.0,966.0,365.0,713.0,1.0,12.0,12.0,14.0,2.0,8.0,0.0,0.0,0.21,324.0,324.0,359.0,0.0
BeeLineOpts.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,27.0,27.0,0.0,1.0,0.0,8.0,87.0,87.0,87.0,38.0,87.0,87.0,1.0,0.0,0.0,86.0,204.0,571.0,107.0,426.0,176.0,198.0,38.0,142.0,105.0,196.0,306.0,172.0,152.0,1.0,4.0,4.0,5.0,1.0,2.0,97.0,97.0,0.09,109.0,109.0,113.0,1.0
BinarySortableSerDe.java,31.0,2.0,26.0,3.0,6.0,4.0,6.0,3.0,107.0,107.0,1.0,1.0,19.0,2.0,26.0,26.0,7.0,9.0,26.0,77.0,3.0,2.0,0.0,21.0,268.0,984.0,90.0,771.0,273.0,512.0,123.0,230.0,225.0,486.0,570.0,259.0,405.0,2.0,71.0,51.0,74.0,3.0,5.0,0.0,0.0,0.16,149.0,109.0,155.0,1.0
BitmapIndexHandler.java,33.0,3.0,25.0,5.0,4.0,4.0,4.0,1.0,42.0,42.0,0.0,1.0,0.0,1.0,7.0,7.0,7.0,1.0,7.0,17.0,0.0,2.0,1.0,4.0,31.0,308.0,37.0,220.0,93.0,133.0,54.0,73.0,94.0,147.0,183.0,89.0,126.0,4.0,9.0,9.0,10.0,3.0,3.0,100.0,100.0,0.25,28.0,28.0,30.0,0.0
BucketingSortingReduceSinkOptimizer.java,32.0,3.0,24.0,5.0,5.0,5.0,6.0,5.0,67.0,67.0,0.0,3.0,0.0,0.0,16.0,16.0,16.0,2.0,16.0,20.0,0.0,11.0,0.0,5.0,52.0,633.0,63.0,431.0,162.0,259.0,139.0,130.0,498.0,222.0,320.0,153.0,224.0,2.0,41.0,41.0,48.0,2.0,6.0,0.0,0.0,0.32,80.0,80.0,91.0,1.0
CalcitePlanner.java,40.0,4.0,30.0,7.0,5.0,5.0,6.0,10.0,283.0,283.0,0.0,11.0,5.0,3.0,72.0,68.0,67.0,23.0,72.0,401.0,14.0,45.0,0.0,13.0,537.0,3238.0,357.0,2348.0,877.0,1719.0,537.0,991.0,18218.0,1345.0,1694.0,788.0,1287.0,3.0,23.0,23.0,34.0,3.0,6.0,0.0,0.0,0.23,363.0,352.0,437.0,1.0
Cleaner.java,32.0,2.0,26.0,5.0,6.0,6.0,7.0,12.0,134.0,134.0,1.0,2.0,0.0,2.0,6.0,6.0,6.0,3.0,6.0,121.0,0.0,4.0,0.0,2.0,186.0,257.0,20.0,189.0,63.0,117.0,48.0,468.0,1235.0,97.0,142.0,71.0,94.0,2.0,17.0,17.0,19.0,3.0,7.0,0.0,0.0,0.25,35.0,35.0,43.0,1.0
CliDriver.java,27.0,2.0,22.0,3.0,4.0,4.0,4.0,19.0,144.0,144.0,1.0,11.0,4.0,5.0,32.0,32.0,28.0,5.0,32.0,76.0,2.0,7.0,1.0,22.0,234.0,876.0,96.0,664.0,193.0,441.0,119.0,432.0,502.0,350.0,488.0,205.0,344.0,2.0,19.0,19.0,19.0,2.0,7.0,0.0,0.0,0.18,129.0,129.0,142.0,1.0
Cmp.java,27.0,0.0,24.0,2.0,4.0,4.0,5.0,2.0,20.0,20.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,11.0,10.0,10.0,7.0,0.0,0.0,3.0,60.0,320.0,17.0,265.0,65.0,186.0,38.0,77.0,139.0,157.0,201.0,67.0,164.0,2.0,16.0,16.0,21.0,1.0,8.0,69.0,67.0,0.14,43.0,43.0,52.0,0.0
ColAndCol.java,26.0,0.0,24.0,2.0,6.0,6.0,12.0,3.0,17.0,17.0,0.0,1.0,0.0,1.0,11.0,11.0,11.0,3.0,11.0,48.0,0.0,0.0,0.0,11.0,25.0,329.0,19.0,278.0,46.0,200.0,37.0,31.0,116.0,162.0,227.0,66.0,161.0,1.0,54.0,54.0,118.0,2.0,4.0,0.0,0.0,0.13,64.0,64.0,128.0,0.0
ColOrCol.java,26.0,0.0,24.0,2.0,6.0,6.0,12.0,3.0,17.0,17.0,0.0,1.0,0.0,1.0,11.0,11.0,11.0,3.0,11.0,48.0,0.0,0.0,0.0,11.0,25.0,332.0,20.0,278.0,46.0,200.0,39.0,31.0,116.0,162.0,227.0,66.0,161.0,1.0,54.0,54.0,118.0,2.0,4.0,0.0,0.0,0.14,64.0,64.0,128.0,0.0
Column.java,9.0,0.0,6.0,3.0,1.0,1.0,1.0,639.0,4217.0,4217.0,68.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,5608.0,6.0,0.0,0.0,0.0,17015.0,92.0,13.0,44.0,16.0,20.0,35.0,16006.0,2683664.0,22.0,31.0,16.0,18.0,1.0,3.0,3.0,3.0,4.0,2.0,0.0,0.0,0.8,8.0,8.0,8.0,1.0
Column.java,19.0,0.0,19.0,0.0,5.0,4.0,5.0,639.0,4217.0,4217.0,68.0,1.0,2.0,4.0,18.0,18.0,16.0,11.0,18.0,5608.0,0.0,8.0,0.0,10.0,17015.0,433.0,29.0,384.0,81.0,285.0,20.0,16006.0,2683664.0,248.0,305.0,80.0,240.0,1.0,18.0,11.0,18.0,4.0,1.0,0.0,0.0,0.05,94.0,66.0,95.0,1.0
ColumnPrunerProcFactory.java,24.0,2.0,19.0,3.0,4.0,4.0,4.0,26.0,269.0,269.0,3.0,15.0,20.0,1.0,41.0,41.0,21.0,0.0,41.0,44.0,0.0,12.0,0.0,29.0,109.0,1182.0,124.0,870.0,375.0,548.0,189.0,370.0,3252.0,481.0,675.0,353.0,490.0,2.5,18.0,18.0,18.0,2.0,4.0,0.0,0.0,0.22,150.0,150.0,158.0,1.0
ColumnStatisticsImpl.java,8.0,0.0,8.0,0.0,2.0,2.0,2.0,18.0,102.0,102.0,8.0,9.0,2.0,0.0,106.0,106.0,104.0,25.0,106.0,314.0,18.0,0.0,0.0,88.0,299.0,1097.0,123.0,954.0,288.0,528.0,20.0,280.0,229.0,393.0,630.0,201.0,463.0,1.0,15.0,9.0,15.0,2.0,3.0,32.0,30.0,0.02,245.0,232.0,258.0,1.0
ColumnStatsUpdateTask.java,29.0,1.0,27.0,1.0,6.0,6.0,6.0,1.0,39.0,39.0,0.0,1.0,0.0,2.0,9.0,9.0,9.0,0.0,9.0,81.0,0.0,5.0,0.0,4.0,29.0,344.0,23.0,287.0,105.0,203.0,34.0,123.0,53.0,179.0,240.0,101.0,186.0,1.0,41.0,41.0,41.0,2.0,3.0,0.0,0.0,0.12,53.0,53.0,53.0,1.0
Commands.java,20.0,1.0,17.0,1.0,4.0,4.0,4.0,16.0,230.0,230.0,0.0,4.0,0.0,2.0,79.0,79.0,79.0,1.0,79.0,141.0,3.0,17.0,0.0,59.0,731.0,1730.0,228.0,1392.0,257.0,992.0,115.0,1519.0,1670.0,600.0,878.0,269.0,706.0,2.0,21.0,21.0,22.0,2.0,6.0,0.0,0.0,0.08,292.0,288.0,318.0,1.0
CommonJoinOperator.java,16.0,1.0,13.0,1.0,3.0,3.0,4.0,2.0,28.0,28.0,2.0,1.0,1.0,3.0,36.0,36.0,35.0,36.0,36.0,146.0,0.0,15.0,10.0,11.0,217.0,829.0,112.0,548.0,172.0,344.0,185.0,181.0,497.0,327.0,438.0,172.0,295.0,1.0,20.0,20.0,30.0,2.0,7.0,92.0,88.0,0.34,106.0,106.0,138.0,1.0
CompactorTest.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,9.0,100.0,100.0,3.0,6.0,0.0,2.0,53.0,52.0,54.0,16.0,54.0,52.0,5.0,5.0,22.0,22.0,431.0,532.0,71.0,419.0,192.0,195.0,45.0,158.0,159.0,226.0,312.0,150.0,195.0,1.0,12.0,9.0,13.0,1.0,3.0,0.0,0.0,0.11,87.0,82.0,91.0,1.0
Complex.java,15.0,1.0,14.0,0.0,4.0,3.0,4.0,32.0,156.0,156.0,0.0,6.0,3.0,15.0,96.0,94.0,93.0,23.0,96.0,138.0,1.0,2.0,0.0,93.0,580.0,1706.0,169.0,1502.0,280.0,944.0,65.0,869.0,13560147.0,723.0,1059.0,281.0,852.0,1.0,32.0,32.0,70.0,2.0,6.0,0.0,0.0,0.04,364.0,319.0,411.0,0.0
ConstantPropagateProcCtx.java,14.0,1.0,12.0,2.0,3.0,3.0,3.0,2.0,16.0,16.0,0.0,2.0,0.0,1.0,11.0,9.0,11.0,5.0,11.0,9.0,0.0,1.0,0.0,10.0,36.0,226.0,24.0,155.0,55.0,88.0,49.0,47.0,60.0,74.0,113.0,55.0,74.0,1.0,21.0,21.0,23.0,1.0,7.0,67.0,56.0,0.32,32.0,32.0,36.0,1.0
ConstantPropagateProcFactory.java,35.0,1.0,28.0,6.0,7.0,7.0,9.0,19.0,213.0,213.0,0.0,10.0,23.0,3.0,35.0,35.0,12.0,0.0,35.0,35.0,0.0,15.0,0.0,20.0,144.0,1444.0,90.0,1111.0,360.0,716.0,243.0,356.0,20578.0,549.0,807.0,337.0,603.0,3.0,71.0,71.0,88.0,1.0,5.0,0.0,0.0,0.22,253.0,251.0,299.0,1.0
CorrelationUtilities.java,15.0,1.0,12.0,2.0,3.0,3.0,4.0,1.0,40.0,40.0,0.0,1.0,26.0,0.0,26.0,26.0,0.0,0.0,26.0,26.0,0.0,1.0,22.0,3.0,114.0,480.0,49.0,358.0,120.0,197.0,75.0,151.0,89.0,174.0,257.0,111.0,176.0,2.5,8.0,7.0,12.0,1.0,3.0,0.0,0.0,0.21,80.0,78.0,99.0,0.0
CreateTableHook.java,78.0,9.0,62.0,8.0,14.0,12.0,16.0,2.0,42.0,42.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,17.0,0.0,0.0,0.0,2.0,22.0,208.0,24.0,152.0,49.0,92.0,34.0,63.0,293.0,68.0,96.0,45.0,61.0,8.0,15.0,13.0,18.0,3.0,4.0,0.0,0.0,0.22,28.0,24.0,31.0,0.0
DDLSemanticAnalyzer.java,29.0,2.0,23.0,4.0,5.0,4.0,5.0,2.0,183.0,183.0,0.0,2.0,9.0,3.0,106.0,106.0,97.0,2.0,106.0,186.0,1.0,95.0,0.0,10.0,877.0,3417.0,342.0,2635.0,828.0,1911.0,449.0,1475.0,169953.0,1461.0,1902.0,737.0,1493.0,3.0,82.0,35.0,83.0,2.0,8.0,97.0,95.5,0.17,508.0,425.0,539.0,1.0
DDLTask.java,40.0,3.0,30.0,7.0,6.0,6.0,7.0,4.0,236.0,236.0,0.0,4.0,8.0,9.0,103.0,101.0,95.0,5.0,103.0,172.0,7.0,85.0,0.0,11.0,669.0,4469.0,424.0,3340.0,887.0,2401.0,707.0,1592.0,1001104672.0,1790.0,2420.0,859.0,1976.0,3.0,70.0,70.0,93.0,2.0,6.0,0.0,0.0,0.21,631.0,623.0,689.0,1.0
DDLWork.java,6.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,49.0,49.0,1.0,1.0,0.0,1.0,149.0,149.0,149.0,50.0,149.0,149.0,0.0,0.0,0.0,149.0,258.0,1158.0,178.0,623.0,278.0,197.0,357.0,153.0,18919.0,253.0,403.0,208.0,195.0,1.0,1.0,1.0,1.0,1.0,0.0,98.0,97.0,0.57,149.0,149.0,149.0,0.0
DataType.java,44.0,4.0,37.0,3.0,13.0,9.0,13.0,1.0,20.0,20.0,0.0,1.0,4.0,19.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,3.0,105.0,242.0,26.0,181.0,51.0,143.0,36.0,136.0,87.0,101.0,138.0,53.0,97.0,2.0,28.0,18.0,28.0,1.0,6.0,0.0,0.0,0.2,53.0,37.0,53.0,0.0
Database.java,13.0,1.0,12.0,1.0,3.0,3.0,4.0,68.0,337.0,337.0,2.0,6.0,3.0,12.0,70.0,68.0,67.0,16.0,70.0,847.0,1.0,2.0,0.0,67.0,2377.0,1095.0,119.0,933.0,183.0,589.0,64.0,2465.0,44733.0,427.0,649.0,165.0,524.0,1.0,23.0,23.0,51.0,3.0,4.0,40.0,33.0,0.07,244.0,214.0,279.0,0.0
Decimal128.java,21.0,1.0,9.0,11.0,2.0,2.0,2.0,4.0,29.0,29.0,0.0,1.0,7.0,6.0,83.0,83.0,76.0,4.0,83.0,123.0,0.0,1.0,0.0,82.0,432.0,1988.0,184.0,808.0,180.0,530.0,1001.0,487.0,1242.0,414.0,593.0,165.0,457.0,1.0,22.0,22.0,26.0,2.0,4.0,54.0,34.0,1.24,185.0,185.0,198.0,0.0
DirWatcher.java,12.0,0.0,11.0,1.0,2.0,2.0,3.0,8.0,53.0,53.0,0.0,6.0,0.0,2.0,24.0,22.0,24.0,26.0,24.0,22.0,9.0,5.0,0.0,10.0,91.0,414.0,48.0,325.0,112.0,179.0,44.0,79.0,230.0,171.0,239.0,106.0,154.0,1.5,17.0,15.0,17.0,1.0,7.0,0.0,0.0,0.14,58.0,56.0,60.0,0.0
Driver.java,29.0,2.0,22.0,4.0,5.0,5.0,6.0,76.0,903.0,903.0,3.0,4.0,6.0,5.0,62.0,62.0,56.0,24.0,62.0,623.0,0.0,26.0,0.0,36.0,2553.0,1999.0,203.0,1504.0,377.0,999.0,298.0,3680.0,434181170.0,773.0,1077.0,372.0,827.0,1.0,39.0,39.0,49.0,4.0,6.0,0.0,0.0,0.2,294.0,288.0,348.0,1.0
DriverInfo.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,7.0,43.0,6.0,16.0,9.0,4.0,21.0,9.0,2.0,8.0,12.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,1.31,3.0,3.0,3.0,0.0
DropPartitionsRequest.java,12.0,1.0,12.0,1.0,3.0,3.0,4.0,11.0,55.0,55.0,0.0,6.0,3.0,17.0,73.0,71.0,70.0,19.0,73.0,65.0,1.0,2.0,0.0,70.0,310.0,1112.0,133.0,946.0,189.0,621.0,57.0,252.0,16357.0,456.0,673.0,167.0,547.0,1.0,26.0,26.0,58.0,2.0,3.0,0.0,0.0,0.06,245.0,210.0,285.0,0.0
DummyRawStoreControlledCommit.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,37.0,37.0,0.0,1.0,1.0,1.0,120.0,120.0,119.0,1.0,120.0,120.0,0.0,0.0,0.0,120.0,352.0,791.0,128.0,632.0,380.0,132.0,31.0,201.0,120.0,158.0,280.0,162.0,118.0,1.0,2.0,2.0,2.0,1.0,1.0,56.0,56.0,0.05,121.0,121.0,121.0,0.0
DummyRawStoreForJdoConnection.java,5.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,39.0,39.0,0.0,1.0,0.0,0.0,118.0,118.0,118.0,0.0,118.0,118.0,0.0,0.0,0.0,118.0,4.0,809.0,206.0,576.0,357.0,102.0,27.0,139.0,118.0,139.0,258.0,160.0,99.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,118.0,118.0,118.0,0.0
DynamicSerDeSimpleNode.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,14.0,0.0,0.0,0.0,2.0,0.0,38.0,5.0,12.0,7.0,3.0,21.0,0.0,0.0,6.0,9.0,7.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,100.0,100.0,1.75,2.0,2.0,2.0,0.0
EncodedReaderImpl.java,20.0,1.0,17.0,3.0,4.0,4.0,4.0,22.0,103.0,103.0,0.0,14.0,11.0,5.0,59.0,59.0,48.0,30.0,59.0,154.0,0.0,22.0,0.0,37.0,281.0,1365.0,96.0,1044.0,308.0,697.0,248.0,304.0,2866388.0,554.0,771.0,280.0,561.0,1.0,38.0,38.0,44.0,4.0,6.0,0.0,0.0,0.24,220.0,220.0,243.0,1.0
EncodedTreeReaderFactory.java,9.0,0.0,8.0,0.0,2.0,2.0,2.0,43.0,379.0,379.0,0.0,30.0,15.0,0.0,152.0,153.0,138.0,135.0,153.0,467.0,1.0,14.0,0.0,138.0,511.0,1836.0,271.0,1492.0,504.0,779.0,73.0,449.0,622.0,607.0,914.0,386.0,569.0,1.0,16.0,10.0,16.0,4.0,3.0,42.0,42.0,0.05,290.0,277.0,294.0,0.0
ErrorMsg.java,8.0,0.0,6.0,2.0,2.0,2.0,2.0,1.0,7.0,7.0,0.0,1.0,9.0,7.0,27.0,25.0,18.0,270.0,27.0,3.0,0.0,7.0,0.0,20.0,334.0,783.0,72.0,624.0,480.0,111.0,88.0,95.0,62.0,101.0,153.0,60.0,108.0,1.0,9.0,9.0,9.0,1.0,4.0,0.0,0.0,0.14,46.0,46.0,47.0,1.0
ExampleUseCase.java,56.0,13.0,22.0,21.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,99.0,19.0,41.0,26.0,21.0,39.0,21.0,1.0,30.0,32.0,24.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.95,1.0,1.0,1.0,0.0
Exec.java,10.0,0.0,8.0,2.0,2.0,2.0,2.0,168.0,1664.0,1664.0,7.0,2.0,0.0,4.0,199.0,197.0,199.0,46.0,199.0,972.0,33.0,0.0,0.0,166.0,3709.0,2361.0,219.0,1669.0,485.0,916.0,477.0,4334.0,135343978.0,735.0,1123.0,395.0,828.0,1.0,12.0,12.0,15.0,3.0,4.0,0.0,0.0,0.29,382.0,382.0,418.0,1.0
ExecDriver.java,27.0,3.0,21.0,3.0,4.0,4.0,5.0,5.0,162.0,162.0,1.0,1.0,5.0,4.0,26.0,26.0,21.0,3.0,26.0,126.0,0.0,4.0,1.0,21.0,308.0,853.0,115.0,626.0,224.0,392.0,113.0,500.0,133275756.0,364.0,481.0,212.0,342.0,1.0,42.0,42.0,49.0,2.0,5.0,73.0,44.0,0.18,113.0,113.0,124.0,1.0
ExplainTask.java,33.0,3.0,29.0,1.0,8.0,8.0,9.0,6.0,73.0,73.0,0.0,3.0,2.0,2.0,27.0,27.0,25.0,3.0,27.0,99.0,0.0,14.0,0.0,13.0,134.0,1006.0,114.0,826.0,200.0,533.0,66.0,224.0,4446734.0,382.0,584.0,187.0,465.0,3.0,50.0,50.0,70.0,2.0,7.0,0.0,0.0,0.08,206.0,205.0,252.0,1.0
ExportSemanticAnalyzer.java,73.0,6.0,60.0,8.0,11.0,11.0,14.0,1.0,33.0,33.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,82.0,0.0,0.0,0.0,2.0,22.0,198.0,20.0,143.0,47.0,96.0,36.0,48.0,3000.0,67.0,89.0,44.0,62.0,20.0,20.0,20.0,26.0,2.0,4.0,50.0,50.0,0.25,21.0,21.0,27.0,0.0
Expression.java,17.0,0.0,14.0,3.0,4.0,4.0,4.0,85.0,852.0,852.0,171.0,1.0,0.0,0.0,34.0,34.0,34.0,2.0,34.0,1148.0,8.0,0.0,0.0,26.0,4702.0,654.0,39.0,499.0,96.0,320.0,123.0,4079.0,2346.0,239.0,363.0,103.0,306.0,1.0,9.0,9.0,13.0,3.0,3.0,38.0,38.0,0.25,123.0,123.0,143.0,0.0
File.java,10.0,0.0,7.0,2.0,2.0,2.0,2.0,375.0,3368.0,3368.0,27.0,1.0,0.0,0.0,10.0,10.0,10.0,4.0,10.0,2847.0,0.0,0.0,0.0,10.0,9304.0,142.0,14.0,84.0,23.0,40.0,44.0,10329.0,45355209.0,38.0,58.0,22.0,36.0,1.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.52,19.0,19.0,19.0,0.0
FileOutputCommitterContainer.java,37.0,3.0,28.0,7.0,6.0,6.0,7.0,1.0,62.0,62.0,0.0,1.0,1.0,9.0,24.0,24.0,23.0,10.0,24.0,26.0,0.0,15.0,0.0,9.0,152.0,1019.0,107.0,726.0,198.0,486.0,193.0,286.0,1758.0,321.0,476.0,186.0,362.0,3.0,30.0,30.0,33.0,3.0,8.0,84.0,76.0,0.27,138.0,138.0,161.0,1.0
FileSinkDesc.java,5.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,0.0,2.0,0.0,1.0,66.0,64.0,66.0,33.0,66.0,75.0,0.0,0.0,0.0,66.0,278.0,470.0,79.0,291.0,123.0,108.0,102.0,77.0,62.0,137.0,204.0,105.0,100.0,1.0,2.0,2.0,2.0,2.0,1.0,94.0,94.0,0.35,66.0,66.0,66.0,1.0
FileSinkOperator.java,26.0,2.0,19.0,5.0,5.0,5.0,5.0,29.0,271.0,271.0,1.0,4.0,1.0,4.0,40.0,40.0,41.0,63.0,42.0,388.0,2.0,12.0,9.0,19.0,603.0,1259.0,132.0,900.0,250.0,556.0,238.0,660.0,7525.0,477.0,667.0,253.0,465.0,1.0,24.0,24.0,29.0,4.0,7.0,41.5,19.0,0.26,187.0,187.0,215.0,1.0
FireEventRequest.java,11.0,0.0,10.0,1.0,3.0,3.0,3.0,12.0,89.0,89.0,0.0,6.0,3.0,11.0,61.0,59.0,58.0,13.0,61.0,76.0,1.0,2.0,0.0,58.0,274.0,861.0,104.0,727.0,160.0,444.0,45.0,244.0,1063.0,339.0,509.0,146.0,392.0,1.0,17.0,17.0,35.0,2.0,4.0,0.0,0.0,0.06,183.0,163.0,205.0,0.0
